iter	Passed	Remaining
0	1	1854
1	3	1750
2	4	1653
3	6	1632
4	8	1622
5	12	2043
6	15	2231
7	17	2187
8	19	2151
9	21	2109
10	22	2054
11	24	2007
12	29	2213
13	32	2268
14	34	2232
15	35	2186
16	37	2150
17	38	2107
18	42	2201
19	45	2222
20	47	2195
21	48	2171
22	50	2136
23	51	2108
24	53	2089
25	55	2070
26	58	2120
27	60	2106
28	62	2090
29	64	2069
30	65	2048
31	67	2032
32	68	2016
33	72	2060
34	74	2065
35	76	2052
36	78	2037
37	79	2022
38	81	2011
39	83	1997
40	87	2058
41	89	2048
42	91	2037
43	93	2026
44	95	2019
45	96	2007
46	98	1996
47	102	2038
48	104	2031
49	106	2023
50	108	2014
51	109	2002
52	111	1996
53	113	1988
54	117	2011
55	118	2002
56	120	1992
57	121	1980
58	123	1968
59	124	1956
60	126	1946
61	128	1938
62	129	1930
63	132	1942
64	134	1935
65	136	1927
66	137	1920
67	139	1913
68	141	1906
69	146	1940
70	147	1933
71	149	1924
72	151	1918
73	152	1911
74	154	1904
75	156	1897
76	157	1890
77	162	1917
78	163	1909
79	165	1903
80	167	1895
81	168	1889
82	169	1875
83	171	1868
84	172	1862
85	175	1863
86	176	1857
87	178	1851
88	180	1842
89	181	1834
90	182	1827
91	184	1820
92	186	1821
93	189	1826
94	190	1818
95	192	1812
96	193	1804
97	195	1796
98	196	1789
99	198	1783
100	199	1776
101	203	1794
102	205	1787
103	206	1781
104	208	1774
105	209	1767
106	211	1762
107	212	1756
108	214	1751
109	218	1770
110	220	1765
111	222	1760
112	223	1754
113	224	1748
114	226	1742
115	228	1737
116	229	1732
117	235	1760
118	237	1757
119	239	1753
120	240	1748
121	242	1742
122	243	1737
123	245	1734
124	249	1748
125	251	1745
126	252	1738
127	254	1733
128	255	1728
129	257	1724
130	259	1720
131	261	1716
132	265	1728
133	266	1723
134	268	1719
135	270	1715
136	271	1709
137	273	1706
138	275	1704
139	279	1719
140	281	1715
141	282	1708
142	284	1704
143	285	1699
144	287	1695
145	288	1690
146	290	1687
147	294	1694
148	296	1691
149	297	1687
150	299	1684
151	301	1680
152	302	1676
153	304	1673
154	306	1671
155	310	1682
156	312	1679
157	314	1675
158	316	1672
159	317	1668
160	318	1661
161	320	1658
162	325	1670
163	327	1667
164	328	1663
165	330	1659
166	331	1654
167	333	1652
168	335	1648
169	339	1655
170	340	1650
171	342	1647
172	343	1642
173	345	1640
174	347	1637
175	349	1634
176	350	1630
177	355	1641
178	357	1639
179	359	1636
180	360	1632
181	362	1628
182	363	1624
183	365	1620
184	367	1618
185	371	1624
186	372	1619
187	374	1616
188	375	1612
189	377	1609
190	379	1607
191	381	1604
192	385	1611
193	386	1607
194	388	1604
195	390	1600
196	391	1597
197	393	1593
198	395	1590
199	396	1587
200	401	1597
201	403	1594
202	405	1590
203	406	1586
204	408	1582
205	409	1578
206	410	1574
207	412	1569
208	416	1575
209	417	1572
210	419	1568
211	421	1565
212	424	1569
213	430	1582
214	435	1588
215	441	1602
216	448	1617
217	450	1614
218	451	1611
219	453	1608
220	455	1605
221	464	1627
222	466	1624
223	468	1621
224	469	1618
225	471	1615
226	480	1636
227	483	1635
228	486	1636
229	494	1655
230	496	1652
231	498	1649
232	500	1646
233	501	1643
234	503	1640
235	513	1660
236	514	1657
237	516	1654
238	518	1651
239	530	1678
240	541	1706
241	543	1703
242	545	1699
243	549	1702
244	555	1712
245	557	1708
246	558	1703
247	560	1699
248	562	1695
249	563	1690
250	565	1686
251	566	1682
252	568	1679
253	570	1676
254	572	1671
255	573	1667
256	575	1664
257	577	1660
258	579	1657
259	584	1663
260	586	1659
261	587	1654
262	589	1651
263	590	1647
264	592	1643
265	594	1639
266	599	1645
267	600	1641
268	602	1637
269	604	1633
270	605	1629
271	607	1626
272	609	1622
273	614	1628
274	616	1624
275	617	1620
276	619	1616
277	620	1612
278	622	1608
279	624	1605
280	630	1612
281	632	1609
282	633	1605
283	635	1602
284	637	1598
285	638	1595
286	640	1591
287	645	1596
288	647	1592
289	648	1588
290	650	1584
291	652	1581
292	653	1577
293	655	1574
294	661	1580
295	663	1576
296	664	1573
297	666	1569
298	667	1566
299	669	1562
300	671	1559
301	677	1566
302	679	1562
303	680	1558
304	682	1555
305	684	1551
306	685	1548
307	689	1548
308	691	1546
309	693	1542
310	694	1539
311	696	1535
312	697	1531
313	699	1527
314	701	1524
315	704	1525
316	706	1522
317	708	1519
318	709	1515
319	711	1512
320	713	1508
321	714	1504
322	716	1501
323	722	1506
324	723	1502
325	725	1499
326	726	1495
327	728	1492
328	730	1489
329	731	1485
330	735	1487
331	737	1484
332	739	1480
333	741	1477
334	742	1473
335	743	1469
336	745	1466
337	749	1468
338	751	1465
339	752	1461
340	754	1458
341	755	1454
342	757	1450
343	758	1446
344	760	1443
345	765	1447
346	767	1445
347	769	1441
348	770	1438
349	772	1434
350	773	1430
351	775	1427
352	780	1431
353	782	1427
354	783	1424
355	785	1420
356	786	1417
357	788	1413
358	789	1410
359	791	1407
360	795	1408
361	797	1405
362	798	1401
363	800	1398
364	801	1394
365	803	1391
366	804	1388
367	806	1385
368	812	1389
369	813	1385
370	815	1382
371	817	1379
372	818	1376
373	820	1373
374	822	1370
375	827	1373
376	829	1370
377	830	1367
378	832	1363
379	833	1360
380	835	1357
381	837	1354
382	840	1354
383	842	1351
384	844	1348
385	845	1345
386	847	1342
387	849	1339
388	850	1336
389	852	1333
390	857	1335
391	859	1332
392	860	1329
393	862	1326
394	864	1323
395	865	1320
396	867	1317
397	873	1320
398	874	1317
399	876	1314
400	878	1311
401	879	1308
402	881	1305
403	882	1302
404	886	1301
405	887	1298
406	889	1295
407	890	1292
408	892	1289
409	895	1289
410	897	1286
411	903	1289
412	905	1286
413	906	1283
414	908	1280
415	910	1277
416	911	1274
417	913	1272
418	918	1273
419	920	1271
420	922	1268
421	923	1265
422	925	1262
423	927	1259
424	929	1257
425	933	1257
426	934	1254
427	936	1251
428	938	1248
429	939	1245
430	941	1243
431	943	1240
432	949	1243
433	951	1240
434	952	1237
435	954	1234
436	956	1231
437	957	1228
438	959	1226
439	961	1223
440	962	1220
441	965	1218
442	967	1216
443	968	1213
444	970	1210
445	973	1209
446	975	1206
447	976	1203
448	978	1200
449	979	1197
450	981	1195
451	983	1192
452	985	1189
453	990	1191
454	992	1188
455	993	1185
456	995	1182
457	996	1179
458	998	1176
459	1000	1174
460	1006	1176
461	1007	1173
462	1009	1170
463	1011	1167
464	1012	1165
465	1014	1162
466	1017	1161
467	1019	1158
468	1020	1155
469	1022	1152
470	1023	1149
471	1025	1146
472	1026	1143
473	1028	1140
474	1029	1137
475	1034	1138
476	1036	1136
477	1037	1133
478	1039	1130
479	1040	1127
480	1042	1124
481	1043	1121
482	1045	1118
483	1050	1120
484	1053	1118
485	1055	1116
486	1056	1113
487	1058	1111
488	1061	1108
489	1063	1106
490	1065	1104
491	1067	1102
492	1069	1100
493	1073	1099
494	1080	1102
495	1082	1099
496	1084	1097
497	1086	1095
498	1093	1097
499	1095	1095
500	1101	1097
501	1104	1095
502	1110	1097
503	1112	1094
504	1116	1094
505	1118	1091
506	1124	1093
507	1129	1093
508	1132	1092
509	1134	1090
510	1142	1092
511	1144	1090
512	1146	1088
513	1149	1086
514	1157	1089
515	1159	1087
516	1161	1084
517	1163	1082
518	1165	1079
519	1167	1077
520	1173	1079
521	1176	1077
522	1184	1080
523	1187	1078
524	1190	1076
525	1192	1074
526	1193	1071
527	1195	1069
528	1199	1068
529	1209	1072
530	1211	1070
531	1220	1073
532	1223	1072
533	1226	1069
534	1228	1067
535	1231	1066
536	1233	1063
537	1235	1060
538	1237	1058
539	1238	1055
540	1240	1052
541	1244	1051
542	1245	1048
543	1247	1045
544	1248	1042
545	1250	1039
546	1252	1037
547	1254	1034
548	1255	1031
549	1262	1032
550	1264	1030
551	1265	1027
552	1267	1024
553	1269	1022
554	1271	1019
555	1275	1018
556	1277	1016
557	1279	1013
558	1281	1010
559	1282	1008
560	1284	1005
561	1286	1002
562	1290	1001
563	1292	998
564	1293	996
565	1295	993
566	1297	990
567	1298	987
568	1300	984
569	1301	982
570	1304	980
571	1306	977
572	1308	974
573	1310	972
574	1312	969
575	1317	969
576	1319	967
577	1320	964
578	1322	961
579	1323	958
580	1325	955
581	1326	952
582	1327	949
583	1331	948
584	1332	945
585	1334	942
586	1336	940
587	1338	938
588	1345	938
589	1348	937
590	1350	934
591	1352	932
592	1354	929
593	1360	929
594	1363	928
595	1375	932
596	1378	930
597	1380	928
598	1382	925
599	1384	923
600	1386	920
601	1391	920
602	1393	917
603	1395	915
604	1397	912
605	1399	909
606	1404	909
607	1407	907
608	1409	904
609	1411	902
610	1413	899
611	1415	897
612	1420	896
613	1423	895
614	1425	892
615	1427	890
616	1429	887
617	1431	884
618	1437	884
619	1438	881
620	1440	879
621	1442	876
622	1448	876
623	1450	874
624	1452	871
625	1454	869
626	1456	866
627	1458	863
628	1460	861
629	1469	863
630	1471	860
631	1472	857
632	1475	855
633	1477	852
634	1481	851
635	1483	849
636	1485	846
637	1487	844
638	1489	841
639	1493	840
640	1495	837
641	1497	834
642	1499	832
643	1502	830
644	1504	827
645	1506	825
646	1511	824
647	1513	822
648	1515	819
649	1517	816
